h_name,address,city,district,state,lat,lng
GMR Varalakhsmi Care Hospital Blood Bank,"GMR nagar, Rajam",Rajam,Srikakulam,Andhra Pradesh,18.4614918,83.6583284
Good Samaritan Blood Bank,"H. No. 13-1/1, Good Samaritan Cancer and General Hospital, Vangayagudem",Eluru,West Godavari,Andhra Pradesh,16.6964811,81.0941185
Government District Hospital Blood Bank,"First Floor, APVVP District Hospital Premises",Nandyal,Kurnool,Andhra Pradesh,15.8188146,78.0397689
Government Area Hospital Blood Bank,"Area Hospital Premises, Ist Floor",Gudivada,Krishna,Andhra Pradesh,16.4410255,80.9926327
Government General Hospital Blood Bank (Medical University General Hospital Blood Bank),"Ground Floor, Government General Hospital Premises, Vijayawada",Hanumanpet,Vijayawada,Andhra Pradesh,16.5133387,80.6189892
Government General Hospital Blood Bank,"First Floor, Government General Hospital Premises",Kurnool,Kurnool,Andhra Pradesh,15.8188146,78.0397689
Government General Hospital Blood Bank (Formerly District Head Quarter Hospital),"District Head quater hospital premises, Ground Floor, Anantapur",Anantapur,Anantapur,Andhra Pradesh,14.6818877,77.6005911
Government General Hospital Blood Bank,"First Floor, OP Block, Station Road",Guntur,Guntur,Andhra Pradesh,16.3318261,80.489049
Government General Hospital Blood Bank,"Government General Hospital Premises, Ground Floor, Kakinada, District",Kakinada,East Godavari,Andhra Pradesh,16.9556927,82.2274281
Government Head Quarters Hospital Blood Bank,"Government H.Q. Premises, Ground Floor, RR PET",Eluru,West Godavari,Andhra Pradesh,16.7133569,81.0943378
Government Maternity Hospital Blood Bank,"Government Maternity Hospital Premises, Ruia Hospital Road",Tirupathi,Chittoor,Andhra Pradesh,13.6397122,79.4092429
Government Victoria Hospital for Women and Children Blood Bank,"1st Floor, Victoria Hospital Premises, 1 Town",Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.6954312,83.2934569
Government Area Hospital Blood Bank,East Godavari District,Tuni,East Godavari,Andhra Pradesh,17.3549368,82.5412421
Government Area Hospital Blood Bank,"APVVP Area Hospital, Ground Floor",Chirala,Prakasam,Andhra Pradesh,15.8254173,80.36139
Great Eastern Medical School and GEMS Hospital Blood Bank,"Ragolu, Srikakulam Mandal",Srikakulam,Srikakulam,Andhra Pradesh,18.3517809,83.902781
GSL Medical College and General Hospital Blood Bank,"Laxmipuram, NH.5, Rajanagaram Mandal, Rajhamundry",Rajahmundry,East Godavari,Andhra Pradesh,17.0665153,81.8828986
Indian Naval Hospital Ship Kalyani Blood Bank,Kalyani Gandhigram Post,Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.6815466,83.2617452
Indian Red Cross Society B.S. Sastry Blood Bank,"D.No. 8-5-2/A, Besides DM & HO Office, Bapuji Kalamandir",Srikakulam,Srikakulam,Andhra Pradesh,18.2964229,83.8949959
Indian Red Cross Society Blood Bank,"10/971, Bellam mandy, Near Matipeddapuli, Trunk Road",Kadapa,Kadapa,Andhra Pradesh,14.4839364,78.8190454
Indian Red Cross Society Blood Bank,"20-119, 1st Floor, Red Cross Building, Prakasam High Road",Chittoor,Chittoor,Andhra Pradesh,13.2176225,79.1007294
Indian Red Cross Society Blood Bank,"57-1-29 to 31, Railway Station Road",Ongole,Prakasam,Andhra Pradesh,15.4980416,80.0514031
Indian Red Cross Society Blood Bank,"1st Floor, Government Area Hospital, Adhoni, Kurnool",Kurnool,Kurnool,Andhra Pradesh,15.6231584,77.2690931
Indian Red Cross Society Blood Bank,"Area Hospital Premises, Prakasam District",Markapur,Prakasam,Andhra Pradesh,15.4980416,80.0514031
Indian Red Cross Society Blood Bank,"Area Hospital Premises, First Floor, Palnadu Road -1",Narasaraopet,Guntur,Andhra Pradesh,16.2359516,80.0485888
Indian Red Cross Society Blood Bank,"Area Hospital, 1st Floor, ZP Compound, Guntur-4",Guntur,Guntur,Andhra Pradesh,16.2937799,80.432627
Indian Red Cross Society Blood Bank,"D.No.14-35-4, Red Cross Buildings, 1 Red Cross Avenue, Maharanipeta",Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.7101319,83.3092615
Indian red cross society Blood Bank,District Area Hospital,Anantapur,Anantapur,Andhra Pradesh,14.6549344,77.6097597
Indian Red Cross Society Blood Bank,"District Branch, Government Medical College Hospital Building, Engineering College Road, Sarada Nagar",Anantapur,Anantapur,Andhra Pradesh,14.6587504,77.6131577
Indian Red Cross Society Blood Bank,Government General Hospital Premises,Eluru,West Godavari,Andhra Pradesh,16.7120015,81.0947653
Indian Red Cross Society Blood Bank,"H.No. 8-14-39, Red Cross Street, Gandhi Nagar",Kakinada,East Godavari,Andhra Pradesh,16.970059,82.2276616
Indian Red Cross Society Blood Bank,"Parvathipuarm Town Area Hospital Premises, 1st Floor, Belagam, Parvathipuram",Vizianagaram,Vizianagaram,Andhra Pradesh,18.7672041,83.4279549
Indian Red Cross Society Blood Bank,"Red Cross Road, adjacent to Government Maternity Hospital, Near Vegetable Market",Nellore,Nellore,Andhra Pradesh,14.4438902,79.9802662
Indian Red Cross Society Blood Bank,"Sy. No. 894 & 896/2, Ground and First Floor, DM & HO Campus",Kurnool,Kurnool,Andhra Pradesh,15.8281257,78.0372792
Indian Red Cross Society Blood Bank,"T.S.No. 7/1B, Near Ganesh Temple, Contonment, Vizianagaram",Vizianagaram,Vizianagaram,Andhra Pradesh,18.1166905,83.3840286
"Indian Red Cross Society, Dr Mullapudi Harischandra Prasad Red Cross Blood Bank","Indian Red Cross Society (IRCS) Building, D.No. 27-14-9, Doddipatlavari Street",Tanuku,West Godavari,Andhra Pradesh,16.7571731,81.6799629
Indian Red Cross Society Blood Bank,"Opp III Town Police Station, Court Complex, E.G.DT, Rajahmundry Branch",Rajahmundry,East Godavari,Andhra Pradesh,17.0091925,81.7697385
Indian Red Cross Society Blood Bank,"APVVP Government Area Hospital, Ground Floor, Kadiri",Anantapur,Anantapur,Andhra Pradesh,14.1129861,78.1573391
Indian Red Cross Society Blood Bank,Community Health Center,Narsapuram,West Godavari,Andhra Pradesh,16.4329833,81.6966198
Indian Red Cross Society Blood Bank,"Indian Red Cross Society (IRCS) Blood Bank, District Branch",Jangareddygudem,West Godavari,Andhra Pradesh,16.7120015,81.0947653
Indian Red Cross Society Blood Bank,Government Hospital Campus,Repalle,Guntur,Andhra Pradesh,16.0174248,80.8294747
Jagruti Charitable Trust Blood Bank,"D.No. 77-1-2, 1st Floor, Jagruthi Building, Gandhipuram",Rajamandry,East Godavari,Andhra Pradesh,17.0044605,81.786709
K.K Indian Red Cross Society Blood bank,"S. N0. 1083/3, RDO office Compound, Trunk Road",Kavali,Nellore,Andhra Pradesh,14.9060821,79.9913632
Kamineni Health care Pvt. . Blood Bank,"1-51, 100 ft New Auto nagar Road, Poranki",Vijayawada,Krishna,Andhra Pradesh,16.496579,80.7027928
Katuri Medical College and Hospital Blood Bank,"Katuri Nagar, Chinakondrapadu, Prathipadu(Mand)",Guntur,Guntur,Andhra Pradesh,16.2256199,80.3080419
King George Hospital Blood Bank,"King George Hospital Premises, Ground Floor",Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.7087374,83.3060385
Konaseema Institute of Medical Sciences and Research Foundation Hospital Blood Bank,"Sy. No. 813 to 817, Kamanagaruvu, Vidyanagar, Near Red Bridges. No. 813 to 817, Kamanagaruvu, Vidyanagar, Near Red Bridge",Amalapuram,East Godavari,Andhra Pradesh,22.5476561,72.9251379
Life Line Voluntary Blood Bank,"Door No. 37-1-169/54, Second Floor, Whole Portion, Sundharaiah Bhavan Road",Ongole,Prakasam,Andhra Pradesh,15.5122937,80.040168
Lions Blood Bank (Lions Vijayawada Vision Multiservice Trust),"Door No. 29-19-85, First Floor, & Second Floor, Old Janata Hospital Building, Dornakol Road, Suryapet",Vijayawada,Vijayawada,Andhra Pradesh,16.5101141,80.6348141
Lions Club of Visakhapatnam Blood Bank Trust,"D.No. 10-54-7, Lions Community Hall, Ram Nagar",Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.7190633,83.3112868
"Lions Vision Blood Bank, Lions Club International","Door No. 12-17-31, 1st Floor, Somuvari Street, Near Bose Statue, Old Club Road",Kothapet,Guntur,Andhra Pradesh,16.2992298,80.449384
Dr. Pattabhi Red Cross Society Blood Bank,"R.S. No. 261/8, Parasupet, S.P. Banglow Centre, Kennedy Road",Machilipatnam,Krishna,Andhra Pradesh,16.1887465,81.1446504
Gitam Institute of Medical Sciences Blood Bank,"Door No. 5-168, Ward No. 6, GITAM University, Rushikonda",Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.7818217,83.3773536
Maharaja Institute of Medical Sciences Blood Bank,"31-15, MIMS General Hospital Premises",Nellimarla,Vizianagaram,Andhra Pradesh,18.1460163,83.4424491
Manipal Hospital Blood Bank,"Level 1, Soumya Nagar",Tadepalli,Guntur,Andhra Pradesh,16.479932,80.6174393
N. T. R. Memorial Trust Blood Bank,"D.No. 13-2-67, 1st Floor, Gunturuvari Thota",Kothapet,Guntur,Andhra Pradesh,16.2861218,80.4462117
Nagarjuna Hospitals Limited Blood Bank,"Second Floor, Kanuru, Vijayawada",Vijayawada,Krishna,Andhra Pradesh,16.48726,80.684152
Narayana Medical College and General Hospital Blood Bank,"1st Floor, A1 Wing, Chintareddypalem, Nellore",Nellore,Nellore,Andhra Pradesh,14.4259731,80.0136424
Needs Blood Bank (A Unit of Needs Society),"D.No. 12-28-56, 1st Floor (Part), Main Road",Kothapet,Guntur,Andhra Pradesh,16.298809,80.449246
"Nimra Institute of Medical Sciences (NIMS), Teaching Hospital and Research Centre","4-90, Nimra Nagar, Jupudi, Ibrahimpatnam",Vijayawada,Krishna,Andhra Pradesh,16.6061489,80.5037285
"NRI Academy of Sciences, NRI Medical College and General Hospital Blood Bank","E Block, First Floor, Medical College and GH Premises, Chinakakani",Mangalagiri,Krishna,Andhra Pradesh,16.4135701,80.5556765
"NRT Blood Bank, GBR Super Speciality Hospital","10-1-10/1, Opposite reddy college, Palnadu Road",Narasaraopet,Guntur,Andhra Pradesh,16.2370703,80.0453199
NTR Memorial Trust Blood Bank,"H.No 10-50-58/1, Raghavendra Towers, Plot No. 15B-3-1, Block No. 56, Ramnagar, Waltair road",Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.718094,83.3107672
Ongole Blood Bank,"5-380, Sridhar Clinic Lane, Kurnool Road",Kurnool,Kurnool,Andhra Pradesh,15.5057232,80.049922
Padmavathi Day and Night Blood Bank,"12-22-39/10, Cellar Portion",Kothapet,Guntur,Andhra Pradesh,16.2861218,80.4462117
"Palakol Voluntary Blood Bank, (A division of Palakol Charitable Trust)","H. No. 11-1-13, Near Urban Bank, Palakol",Palakol,West Godavari,Andhra Pradesh,16.5197815,81.727525
Peoples Education Society Institute of Medical Sciences and Research Blood Bank,PES Institute of Medical Sciences Premises Chittoor,Kuppam,Chittoor,Andhra Pradesh,12.790709,78.364276
Project Hospital Blood Bank,"NSRS Project Hospital Premises, Srisailam Project (East), Sundipenta Village (PO)",Srisailam,Kurnool,Andhra Pradesh,16.0713386,78.9100923
R.R. Hospital Blood Bank,"D.No.30-304-10, Bhagyanagar, Kurnool",Bhagyanagar,Kurnool,Andhra Pradesh,15.8288042,78.0362936
Rajiv Gandhi Institute of Medical Sciences General Hospital Blood Bank,"Ground Floor, Old Family Planning Building, RIMS Hospital Premises",Srikakulam,Srikakulam,Andhra Pradesh,18.3148355,83.8946328
Rajiv Gandhi Institute of Medical Science blood bank,NA,Ongole,NA,Andhra Pradesh,15.4878817,80.0471437
Rajiv Gandhi Institute of Medical Sciences Blood Bank,"RIMS General Hospital, OP Block (K wing), Ground Floor",PutlamPalli,Kadapa,Andhra Pradesh,14.4333542,78.8644941
Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),"D.No. 15-8-10, 2nd Floor, Sambamurthinagar Road, Brahmarshi Road, Satyaprasanna Nagar, Kakinada",Kakinada,East Godavari,Andhra Pradesh,16.955721,82.2384023
"Rotary Blood Bank, (Visakha Portcity Charitable Trust)","D.No. 13-26-2/54, 3rd Floor, Apuroopa Archede, Jagadamaba Junction, Maharanipeta",Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.7116757,83.3033122
Rotary Red Cross Blood Bank,"D.No. 26-5-5, GS Raju Street, Gandhi Nagar",Vijayawada,Krishna,Andhra Pradesh,16.518421,80.62469
Rudhira Voluntary Blood Bank,"H.No. 7-5-9, Ist Floor, Prakasam Road, Gangamapeta",Tenali,Guntur,Andhra Pradesh,16.2434294,80.6463982
Rural Development Trust Hospital Blood Bank,"RDT Hospital Campus, Ground Floor, Survey No. 153, Kadiri Road, Anathapuram",Anantapur,Villupuram,Andhra Pradesh,14.6524109,77.6183496
Sakthi Voluntary Blood Bank,"D.No. 3-5-9, Opp. Raithu Bazar, Lalam Satyanatayana Hospitla Street",Tuni,East Godavari,Andhra Pradesh,9.7549695,76.6816962
Santhiram Medical College and General Hospital Blood Bank,"SHAFA Educational Society, NH-18",Nandhyal,Kurnool,Andhra Pradesh,15.4922086,78.4189913
Seven Hills Hospitals Blood Bank,"D, Bi, 11-4-4/A, 5th Floor, Rockdale Layout, Visakhapatnam",Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.6868159,83.2184815
Smt. Chigurupati Manjuvani Varaprasad Lions District 324-C4 Blood Bank,"D.No. 29-4-54 K, Canon Dhanvada Anantham Complex, Prakasam Road, Suryaraopet",Vijayawada,Krishna,Andhra Pradesh,16.5103085,80.6325107
Smt. Venkata Narasamma and Helapuri Lions Blood Bank,"H.No. 23A-7-13, Rangoon Meda, RR peta",Eluru,West Godavari,Andhra Pradesh,16.7134877,81.1001784
South Central Railway Hospital Blood Bank,"Ist Floor, South Centrl Railway Hospital Premises",Vijayawada,Krishna,Andhra Pradesh,16.5184836,80.6215435
South Central Railway Hospital Blood Bank,SC Railway Hospital Premises,Guntakal,Anantapur,Andhra Pradesh,17.4399295,78.4982741
Sri Buddala Narasimhamurty Blood Bank,"D.No. 34-4/5, Ground floor, Supriya Towers,Tanuku",West Godavari,West Godavari,Andhra Pradesh,16.7556421,81.6801519
Sri Lakshmi Maternity and Surgical Nursing Home,"D.No. 12-24-25, Beside Sivalayam, 4th Floor",Kothapet,Guntur,Andhra Pradesh,16.3002581,80.4498255
Sri Satya Sai Institute of Higher Medical Sciences Blood Bank,Prasanthigram,Puttaparthi,Anantapur,Andhra Pradesh,14.151889,77.77685
Sri Venkata Sai Charitable Trust Blood Bank,"H. No. 10-3-206, M4, First Floor, Reddy & Reddy Colony, Varadaraja Nagar",Tirupathi,Chittoor,Andhra Pradesh,13.6361446,79.4204532
Sri Venkateswara Institute of Medical Sciences Blood Bank,"Sri Venkateswara Institute of Medical Sciences Hospital Premises, T.T.D,Tirupati",Chittoor,Chittoor,Andhra Pradesh,13.6421041,79.4083187
Srinivasa Nursing Home Blood Bank,"Ground Floor, Plot No. 6, Arundati Nagar, Opp. Goods Shed Jn, Contonment",Vizianagaram,Vizianagaram,Andhra Pradesh,18.1173445,83.3956985
St. Anns Hospital Blood Bank,Bandar Road,Vijayawada,Krishna,Andhra Pradesh,16.504622,80.6311929
St. Josephs General Hospital Blood Bank,"First Floor, Hospital Premises",Guntur,Guntur,Andhra Pradesh,16.2975205,80.4411613
SVRR Government General Hospital Blood Bank,"1st Floor, Main Building, SSVR Hosital Permises,Tirupati",Chittoor,Chittoor,Andhra Pradesh,13.6447357,79.4057679
Swatanthra Hospital (Super Speciality Hospital) Pvt. . Blood Bank,"D.No. 19-5-21/6, 2nd Floor, Near KambalaTank,",Rajahmundry,East Godavari,Andhra Pradesh,17.0143886,81.7775143
TTD Central Hospital Blood Bank,"TTD Central Hospital Premises, First Floor, KT Road",Tirupathi,Chittoor,Andhra Pradesh,13.6423086,79.4209586
Uddaraju Anandaraju Foundation Blood Bank,"D.No. 27-8-21/2, Sivaraopet",Bhimavaram,West Godavari,Andhra Pradesh,16.5430135,81.515735
Vijaya Blood Bank,"D.No. 3/179, Sai Kuteer Road, Ground Floor",Proddutur,Kadapa,Andhra Pradesh,14.760899,78.5503672
Vijayasri Blood Bank (A Unit of Vijayasri Memorial Charitable Trust),"D.No. 29-4-30, Maheswari Plaza, Kodanda Rami Reddy Street, Governorpet",Vijaywada,Krishna,Andhra Pradesh,16.5139879,80.6361566
Visakha Steel General Hospital Blood Bank,"First Floor, Sector 6, Ukkunagaram",Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.6623901,83.1424329
"Visakha Voluntary Blood Bank, (A Division of Visakha Charitable Trust)","D.No. 10-2-1/1, 1st Foor, 16-172, Krishna Arcade, Main Rd, Old Gajuwaka Jn.",Gajuwaka,Visakhapatnam,Andhra Pradesh,17.685156,83.2040371
"Viswa Bharathi General Hospital Blood Bank, R.T. Nagar, Near Penchikalapadu (V)",Kallur (M),Kallur,Kurnool,Andhra Pradesh,15.742862,77.880279
Viswa Bharathi Super Speciality Hospital Blood Bank,"50/760-A-127-13, 1st Floor, (O.P. Block), Gayathri Estates",Kurnool,Kurnool,Andhra Pradesh,15.8132734,78.0380988
"SVRR Hospital and Medical College, Tirupati",SVRRGG Hospital Campus,Tirupati,Chittoor,Andhra Pradesh,13.6447357,79.4057679
Government General Hospital,Ramavarapadu,Vijayawada,Krishna,Andhra Pradesh,16.5167042,80.670015
Government Blood Bank DH,NA,Eluru,West Godavari,Andhra Pradesh,16.7133569,81.0943378
"Blood Bank, Government Hospital",Room No:31 opposite Head post office,Amalapuram,East Godavari,Andhra Pradesh,16.5720904,82.0008548
Government Area Hospital,NA,Gudivada,Krishna,Andhra Pradesh,16.4345654,80.9915147
Area Hospital Blood Bank,NA,Tenali,Guntur,Andhra Pradesh,16.2434294,80.6463982
Community Hospital Blood Bank,NA,Proddutur,Cuddapah,Andhra Pradesh,14.7478907,78.5472478
Community Hospital Blood Bank,NA,Adoni,Kurnool,Andhra Pradesh,15.8288042,78.0362936
Community Hospital Blood Bank,NA,Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.7101319,83.3092615
AH Blood Bank,NA,Pulivendula,Kadapa,Andhra Pradesh,14.4222318,78.2263388
AH Blood Bank,NA,Kadari,Anantapur,Andhra Pradesh,14.1130272,78.1605586
AH Blood Bank,NA,Hindupur,Anantapur,Andhra Pradesh,13.8185378,77.4988753
"Arunachal State Hospital, General Hospital","Arunachal State Hospital, Naharlagun Capital Complex District, Arunachal Pradesh",NA,Naharlagun,Arunachal Pradesh,27.0985774,93.6948869
General Hospital,"General Hospital, Pasighat, East Siang district",NA,East Siang,Arunachal Pradesh,28.0715448,95.3251129
Ramakrishna Mission Hospital,"RK Mission Hospital,Itanagar, Capital Complex District, Arunachal Pradesh",NA,Itanagar,Arunachal Pradesh,27.0856246,93.6090296
District Hospital Blood Bank,NA,NA,West Along,Arunachal Pradesh,28.1627836,94.8054142
District Hospital Blood Bank,NA,NA,Tezu,Arunachal Pradesh,27.9283665,96.1583326
District Hospital,"District Hospital, Changlang, Changlang district",NA,Changlang,Arunachal Pradesh,27.7421763,96.642433
District Hospital Blood Bank,NA,NA,Bomdiala,Arunachal Pradesh,28.2179994,94.7277528
District Hospital Blood Bank,NA,NA,Seppa,Arunachal Pradesh,27.3530677,93.0432826
District Hospital,"District Hospital,Tawang,Tawang district",NA,Tawang,Arunachal Pradesh,27.5889424,91.864897
District Hospital,NA,Ziro,Lower Subansiri,Arunachal Pradesh,27.5390107,93.8219742
District Hospital Blood Bank,NA,Daporijo,Upper Subansiri,Arunachal Pradesh,27.981328,94.2174304
District Hospital,NA,Yingkiong,Upper Siang,Arunachal Pradesh,28.6416618,95.0253493
"C.H.C. blood bank, Bongaigaon","Bongaigaon Civil Hospital, Bongaigaon",Bongaigaon,Bongaigaon,Assam,26.4311408,90.576916
Silchar Medical College and Hospital Blood Bank.,"Silchar Medical College Hospital,Ghungoor, Silchar","Ghungoor, Silchar",Cachar,Assam,24.7754169,92.793119
BRPL Hospital Blood Bank,Dhaligaon,NA,NA,Assam,26.5187143,90.5305087
Blood Bank Red Cross Children Hospital,"Indian Red Cross Children Hospital,Silchar",Silchar,Cachar,Assam,24.8266266,92.7953352
Mangaldoi Civil Hospital blood bank,"Mangaldoi Civil Hospital, Mangaldoi, Darrang",Mangaldoi,Darrang,Assam,26.4375495,92.0363975
Dhemaji Civil Hospital blood bank,"Dhemaji Civil Hospital,Lachit Nagar, Khubalia",Dhemaji,Dhemaji,Assam,27.4580238,94.5745332
"Assam Medical College & Hospital Blood Bank,State of the Art Model blood bank",Assam Medical College Hospital,Dibrugarh,Dibrugarh,Assam,27.4875825,94.9400886
Brahmaputra Valley Fertilizer Corporation Ltd,"Namrup, Parbatpur","Brahmaputra, Parbatpur",NA,Assam,27.1799844,95.3491881
Oil India Ltd. Hospital Blood Bank,Duliajan,Duliajan,NA,Assam,27.3591908,95.3236481
Goalpara Civil Hospital,"Civil Hospital, Golpara",Golpara,Goalpara,Assam,26.1416747,90.6100549
K.K. Civil Hospital blood bank,"K.K. Civil Hospital,Golaghat",Golaghat,Golaghat,Assam,26.5096114,93.9641705
Hailakandi Civil Hospital Blood Bank,Hailakandi,Hailakandi,Hailakandi,Assam,24.6717735,92.5633657
State of the Art Model blood bank,"Guwahati Medical College & Hospital,Bhangagarh,Guwahati-32",Guwahati,Kamrup (M),Assam,26.1542164,91.7700635
Dr. B. Barooah Cancer Institute Blood Bank,"Dr. B. Barooah Cancer Institute, Gopinath Nagar, Birubari, Guwahati",Birubari,Kamrup (M),Assam,26.165205,91.7468249
M.M.C. Hospital Blood Bank,"Panbazar, Guwahati",Guwahati,Guwahati,Assam,26.1855045,91.7404854
